,episode,num_steps,score,reverse_score,success,critic_loss,actor_loss,alpha_loss,alpha,log_prob,env_buffer,demo_buffer,reverse_buffer,train_time,episode_time,total_time
58,58.0,500.0,0.0,0.0,0.0,0.10181979089975357,-19.46566891479492,-0.0009450996629651627,0.02990299606284578,4.066819667816162,29500.0,5000.0,0.0,7.4915690422058105,16.86467957496643,3141.965121269226
59,59.0,500.0,0.0,0.0,0.0,0.09493619203567505,-19.699083854675294,0.0008938219941874195,0.027308002759862626,3.9380810260772705,30000.0,5000.0,0.0,7.477644920349121,17.032040119171143,3175.39906334877
60,60.0,500.0,0.0,0.0,0.0,0.09142561256885529,-19.970681526184084,0.0009504094280055142,0.024650956824648247,3.9271559715270996,30500.0,5000.0,0.0,7.455258846282959,17.64940857887268,3635.423933029175
61,61.0,500.0,0.0,0.0,0.0,0.08989419043064117,-20.118920249938967,-0.0010467497132024928,0.02761680725060382,4.080946445465088,31000.0,5000.0,0.0,7.123340129852295,16.728665351867676,3668.517043352127
62,62.0,500.0,0.0,0.0,0.0,0.096288301050663,-20.290969360351564,0.00012537571968277916,0.02732046974419271,3.9913759231567383,31500.0,5000.0,0.0,7.520737171173096,16.562630891799927,3702.7150495052338
63,63.0,500.0,0.0,0.0,0.0,0.09279655665159225,-20.482216331481933,-0.0002987768249440705,0.02800143027339427,4.022067546844482,32000.0,5000.0,0.0,7.409296751022339,16.06433415412903,3735.88601398468
64,64.0,500.0,0.0,0.0,0.0,0.09045127779245377,-20.623619735717774,0.0005045087734670233,0.02683330950255819,3.9635632038116455,32500.0,5000.0,0.0,7.585405111312866,16.410927295684814,3769.551515340805
65,65.0,500.0,0.0,0.0,0.0,0.08487612754106522,-20.741936721801757,-0.00039553699193709235,0.027778111484361424,4.029379844665527,33000.0,5000.0,0.0,7.4310667514801025,16.33438515663147,3802.2491796016693
66,66.0,500.0,0.0,0.0,0.0,0.08617919683456421,-20.874892082214355,-4.586341080721468e-05,0.027920958630063872,4.003658771514893,33500.0,5000.0,0.0,7.528482913970947,16.747573852539062,3835.1625463962555
67,67.0,500.0,0.0,0.0,0.0,0.0913594588637352,-21.006206069946288,0.0001497555783698772,0.027366088123981523,3.9893574714660645,34000.0,5000.0,0.0,7.505529403686523,16.886637926101685,3868.1920096874237
68,68.0,500.0,0.0,0.0,0.0,0.1033831387758255,-21.078162452697754,-9.462777775479481e-05,0.027887372401011686,4.007097244262695,34500.0,5000.0,0.0,7.539252758026123,17.233760595321655,3901.5607347488403
69,69.0,500.0,0.0,0.0,0.0,0.10576570779085159,-21.21750936126709,-0.0002755215400684392,0.02871726095981137,4.019721031188965,35000.0,5000.0,0.0,7.523057222366333,16.991561889648438,3934.8279592990875
